종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"395290","HANARO Fn K-POP&미디어","9145","0","0.00","9123.85","9175","9175","9020","112146","1019396971","66301250000","0","7250000","FnGuide K-POP & 미디어 지수","870.33","-2.21","-0.25"
"395280","HANARO Fn K-게임","4475","25","0.56","4470.81","4455","4475","4425","41268","183913410","13201250000","0","2950000","FnGuide K-게임 지수","867.64","2.26","0.26"
"368190","HANARO Fn K-뉴딜디지털플러스","7970","35","0.44","7954.24","8010","8010","7905","2606","20642756","36662000000","0","4600000","FnGuide K-뉴딜 디지털 플러스 지수","1913.54","1.80","0.09"
"402460","HANARO Fn K-메타버스MZ","7695","-10","-0.13","7728.42","7745","7745","7685","1529","11772875","5771250000","0","750000","FnGuide K-메타버스 MZ 지수(시장가격)","1241.87","-2.15","-0.17"
"395270","HANARO Fn K-반도체","11695","35","0.30","11693.49","11725","11745","11615","255629","2987226785","251442500000","0","21500000","FnGuide K-반도체 지수","3499.08","3.93","0.11"
"438900","HANARO Fn K-푸드","12820","-95","-0.74","12846.86","12900","12900","12625","78365","998708129","22435000000","0","1750000","FnGuide K-푸드 지수 (시장가격)","989.39","-6.58","-0.66"
"367740","HANARO Fn5G산업","14690","-5","-0.03","14739.62","14800","14800","14690","48","705455","8079500000","0","550000","FnGuide 5G 산업 지수","2490.40","-4.27","-0.17"
"407300","HANARO Fn골프테마","8700","-80","-0.91","8699.49","8700","8715","8600","2499","21566350","4785000000","0","550000","FnGuide 골프 테마 지수","917.98","-5.67","-0.61"
"381560","HANARO Fn전기&수소차","7965","250","3.24","7949.99","7885","7965","7845","7265","57504080","16726500000","0","2100000","FnGuide 전기&수소차 지수 (시장가격)","1802.05","48.76","2.78"
"441540","HANARO Fn조선해운","24550","130","0.53","24530.13","24415","24595","24175","34155","833445653","85925000000","0","3500000","FnGuide 조선해운지수","4034.41","0.71","0.02"
"381570","HANARO Fn친환경에너지","7430","85","1.16","7428.55","7480","7485","7400","7002","52196820","7058500000","0","950000","FnGuide 친환경에너지 지수 (시장가격)","1433.89","13.59","0.96"
